scenario,control_case,control_case_name,num_samples,demo_2d_file,demo_3d_file
double_lane_change,0,without_control,172,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\double_lane_change\double_lane_change_without_control_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\double_lane_change\double_lane_change_without_control_demo_3D_unreal_input_data.mat
double_lane_change,1,stability_control,186,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\double_lane_change\double_lane_change_stability_control_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\double_lane_change\double_lane_change_stability_control_demo_3D_unreal_input_data.mat
double_lane_change,2,torque_vectoring,188,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\double_lane_change\double_lane_change_torque_vectoring_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\double_lane_change\double_lane_change_torque_vectoring_demo_3D_unreal_input_data.mat
aggressive_corner,0,without_control,292,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\aggressive_corner\aggressive_corner_without_control_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\aggressive_corner\aggressive_corner_without_control_demo_3D_unreal_input_data.mat
aggressive_corner,1,stability_control,357,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\aggressive_corner\aggressive_corner_stability_control_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\aggressive_corner\aggressive_corner_stability_control_demo_3D_unreal_input_data.mat
aggressive_corner,2,torque_vectoring,309,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\aggressive_corner\aggressive_corner_torque_vectoring_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\aggressive_corner\aggressive_corner_torque_vectoring_demo_3D_unreal_input_data.mat
low_mu_lane_change,0,without_control,115,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\low_mu_lane_change\low_mu_lane_change_without_control_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\low_mu_lane_change\low_mu_lane_change_without_control_demo_3D_unreal_input_data.mat
low_mu_lane_change,1,stability_control,200,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\low_mu_lane_change\low_mu_lane_change_stability_control_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\low_mu_lane_change\low_mu_lane_change_stability_control_demo_3D_unreal_input_data.mat
low_mu_lane_change,2,torque_vectoring,208,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\low_mu_lane_change\low_mu_lane_change_torque_vectoring_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\low_mu_lane_change\low_mu_lane_change_torque_vectoring_demo_3D_unreal_input_data.mat
high_speed_low_mu_slalom,0,without_control,114,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\high_speed_low_mu_slalom\high_speed_low_mu_slalom_without_control_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\high_speed_low_mu_slalom\high_speed_low_mu_slalom_without_control_demo_3D_unreal_input_data.mat
high_speed_low_mu_slalom,1,stability_control,213,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\high_speed_low_mu_slalom\high_speed_low_mu_slalom_stability_control_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\high_speed_low_mu_slalom\high_speed_low_mu_slalom_stability_control_demo_3D_unreal_input_data.mat
high_speed_low_mu_slalom,2,torque_vectoring,222,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_2D\high_speed_low_mu_slalom\high_speed_low_mu_slalom_torque_vectoring_demo_2D_input_data.mat,D:\Jose\MIERA\2o_cuatri\Control_en_vehiculos\vehicle-stability-torque-vectoring\results\runs\demos_3D\high_speed_low_mu_slalom\high_speed_low_mu_slalom_torque_vectoring_demo_3D_unreal_input_data.mat
